Date,Open,High,Low,Close,Adj Close,Volume
9/1/2008,6.157143,6.196429,3.5925,4.059286,3.480291,24067562400
10/1/2008,3.997143,4.157143,3.035714,3.8425,3.294426,41426711200
11/1/2008,3.783214,3.9925,2.826429,3.309643,2.837572,23619461600
12/1/2008,3.260714,3.7,3.019643,3.048214,2.613431,20213846800
1/1/2009,3.067143,3.470357,2.792857,3.218929,2.759798,18105740800
2/1/2009,3.182143,3.678571,3.089643,3.189643,2.734689,13867450800
3/1/2009,3.147143,3.927857,2.940357,3.754286,3.218793,15424598000
4/1/2009,3.7175,4.542857,3.710357,4.493929,3.852938,11821681200
5/1/2009,4.492857,4.853571,4.263571,4.850357,4.158527,9457142800
6/1/2009,4.873929,5.228571,4.745714,5.086786,4.361233,12675572000
7/1/2009,5.125,5.892857,4.800714,5.835357,5.003032,10942136800
8/1/2009,5.900357,6.160357,5.693571,6.0075,5.150623,8165124800
9/1/2009,5.999643,6.746429,5.861071,6.619643,5.675451,9989319200
10/1/2009,6.619643,7.453929,6.453571,6.732143,5.771904,12956176800
11/1/2009,6.778571,7.428571,6.6275,7.139643,6.121283,8454784800
12/1/2009,7.222857,7.641071,6.738571,7.526071,6.452591,11393958800
1/1/2010,7.6225,7.699643,6.794643,6.859286,5.880913,15168994400
2/1/2010,6.870357,7.3275,6.816071,7.307857,6.265501,10776080000
3/1/2010,7.348214,8.481429,7.3375,8.392857,7.195742,12154172800
4/1/2010,8.478929,9.730714,8.3125,9.324643,7.994623,12367129600
5/1/2010,9.422857,9.567143,7.116071,9.174286,7.865712,18082654800
6/1/2010,9.274643,9.964643,8.65,8.983214,7.701895,16651252800
7/1/2010,9.082143,9.499643,8.557143,9.1875,7.877039,15669704400
8/1/2010,9.301429,9.438571,8.412857,8.682143,7.443767,9589120800
9/1/2010,8.838214,10.526071,8.795714,10.133929,8.688479,11849919200
10/1/2010,10.219643,11.392857,9.920357,10.749286,9.216066,12234577600
11/1/2010,10.793571,11.475,10.634286,11.1125,9.527471,9508086000
12/1/2010,11.259643,11.666429,11.246071,11.52,9.876848,6973234800
1/1/2011,11.63,12.45,11.601429,12.118571,10.390044,10841535600
2/1/2011,12.189286,13.032143,12.061429,12.614643,10.815355,9295949600
3/1/2011,12.695357,12.916786,11.652143,12.446786,10.671439,11306458800
4/1/2011,12.539643,12.683214,11.434286,12.504643,10.721043,9253829200
5/1/2011,12.490714,12.565357,11.765,12.4225,10.650619,6912060400
6/1/2011,12.459643,12.576071,11.089286,11.988214,10.278276,9263850400
7/1/2011,11.998214,14.446429,11.935714,13.945714,11.956573,10653946800
8/1/2011,14.206429,14.267857,12.607857,13.743929,11.783565,16142599200
9/1/2011,13.779286,15.102143,13.088571,13.618571,11.676086,11977448000
10/1/2011,13.584643,15.239286,12.651429,14.456429,12.39444,13141427600
11/1/2011,14.193214,14.571429,12.975714,13.65,11.703032,8963701600
12/1/2011,13.662143,14.610357,13.488571,14.464286,12.401175,6306532400
1/1/2012,14.621429,16.365713,14.607143,16.302856,13.977499,6859854400
2/1/2012,16.371786,19.557501,16.213572,19.372856,16.609612,11368554400
3/1/2012,19.577499,22.194643,18.436428,21.4125,18.358328,15584338000
4/1/2012,21.493929,23,19.821428,20.856428,17.881575,15598990400
5/1/2012,20.889286,21.312857,18.649286,20.633215,17.690199,11106345600
6/1/2012,20.327143,21.071428,19.589287,20.857143,17.882183,7855825600
7/1/2012,20.883215,22.138214,20.357143,21.812857,18.701582,8909650400
8/1/2012,21.996786,24.316786,21.4375,23.758572,20.369768,8276206400
9/1/2012,23.777143,25.18107,23.428572,23.825001,20.514423,9199005200
10/1/2012,23.969999,24.169643,20.989286,21.261429,18.307068,12142830000
11/1/2012,21.365,21.535713,18.0625,20.902857,17.998329,12929851200
12/1/2012,21.201786,21.235357,17.901072,19.006071,16.439856,12132752800
1/1/2013,19.779285,19.821428,15.535714,16.2675,14.071044,13123423600
2/1/2013,16.396786,17.319286,15.630714,15.764286,13.635774,9344034000
3/1/2013,15.642857,16.78393,14.964286,15.809286,13.754396,9176876800
4/1/2013,15.782143,15.901786,13.753571,15.813571,13.758128,10963489600
5/1/2013,15.873571,16.633928,14.960714,16.061787,13.974077,9447530400
6/1/2013,16.0975,16.229643,13.888214,14.161786,12.402593,7018536000
7/1/2013,14.381786,16.33357,14.329286,16.161785,14.154149,6538114800
8/1/2013,16.276787,18.347857,16.187857,17.400715,15.23918,8058338400
9/1/2013,17.610714,18.139999,15.972143,17.026787,15.010157,8630941200
10/1/2013,17.0875,19.258928,17.081429,18.667856,16.456863,7837732000
11/1/2013,18.715,19.940357,18.299286,19.859644,17.507494,5225155600
12/1/2013,19.928572,20.540714,19.242857,20.036428,17.766474,7057397200
1/1/2014,19.845715,20.007143,17.626785,17.878571,15.853076,8765954400
2/1/2014,17.950357,19.685356,17.832144,18.794287,16.665051,5880366800
3/1/2014,18.693571,19.607143,18.671785,19.169287,17.099312,5001698800
4/1/2014,19.205713,21.408215,18.261786,21.074642,18.798922,6435060800
5/1/2014,21.142857,23.006071,20.72607,22.607143,20.165941,5735668400
6/1/2014,22.64143,23.762501,22.232143,23.2325,20.839512,4827739200
7/1/2014,23.379999,24.860001,23.1425,23.9,21.438261,4140344000
8/1/2014,23.725,25.725,23.32,25.625,22.98558,3748308000
9/1/2014,25.764999,25.934999,24.035,25.1875,22.705523,6105680000
10/1/2014,25.147499,27.01,23.795,27,24.339415,5441120800
11/1/2014,27.055,29.9375,26.93,29.7325,26.80266,3281632800
12/1/2014,29.702499,29.8125,26.565001,27.594999,24.983656,4294378400
1/1/2015,27.8475,30,26.157499,29.290001,26.518257,5221053600
2/1/2015,29.512501,33.400002,29.02,32.115002,29.075926,4546140800
3/1/2015,32.3125,32.57,30.407499,31.1075,28.274912,4554568400
4/1/2015,31.205,33.634998,30.775,31.2875,28.438524,3984542000
5/1/2015,31.525,33.2425,30.84,32.57,29.604244,3816608400
